ENBID,LCRID
111130,129
111249,130
111249,131
111250,129
111250,130
111250,131
111336,130
111336,131
111336,133
111336,134
111489,130
111489,131
111600,130
111600,131
118238,130
118238,131
118298,129
118298,131
30850,1
30850,3
30851,3
30925,6
30928,2
30928,3
30928,5
30928,6
30929,3
30929,4
30929,6
365100,132
365100,134
365161,130
365161,131
365289,129
550912,1
550912,6
550913,3
550913,4
550913,6
550915,4
550915,6
550916,4
550916,5
550916,6
550919,3
550919,5
550919,6
550920,1
550920,3
550920,4
550920,6
550922,4
550922,5
550922,6
550923,3
550923,4
550923,5
550923,6
550924,2
550924,4
550924,5
550925,5
550925,6
550926,2
550926,3
550926,4
550926,5
550926,6
550927,3
550927,6
550928,4
550928,5
550929,1
550929,2
550929,4
550929,5
550930,4
550930,6
550931,2
550931,4
550931,5
550931,6
550932,4
550932,5
550934,2
550934,4
550934,5
550934,6
550935,1
550935,2
550938,5
550940,2
550940,3
550940,5
550940,6
550941,3
550941,5
550941,6
550942,5
550943,1
550943,4
550946,1
550946,3
550946,4
550947,3
550947,5
550947,6
550949,2
550949,3
550965,6
550981,2
550981,3
550981,4
550981,5
550981,6
551026,3
551026,5
551026,6
551029,5
551029,6
551030,5
551030,6
551031,3
551042,2
551042,3
551042,4
551042,5
551042,6
551048,4
551048,5
551048,6
551053,1
551053,2
551053,4
551053,5
551065,1
551065,4
551071,1
551071,2
551071,4
551071,5
551071,6
551079,2
551079,3
551079,4
551079,5
551079,6
551081,2
551081,5
551081,6
551105,1
551105,4
551112,2
551112,3
551112,4
551112,5
551112,6
555092,1
555092,2
555092,5
555116,4
555126,1
555126,2
555126,4
555126,5
555161,1
555161,4
555166,4
555166,5
555166,6
555219,11
551102,5
551102,6
105796,129
105797,129
105869,129
106187,129
106193,131
106195,130
106195,132
106195,133
106195,134
111481,130
111602,129
111602,130
118196,138
118287,129
118288,129
264053,101
264132,101
264801,101
264813,101
264815,101
264820,101
264830,101
264833,101
264834,101
264847,101
273185,92
273190,91
365086,130
365086,131
365086,134
365114,129
365115,129
365125,129
365125,130
365176,129
365177,129
365291,129
365292,129
370698,129
370701,129
370702,129
370704,129
370706,129
370708,129
370712,129
370726,129
47123,91
47299,91
550938,4
550938,6
550940,4
550948,1
550948,4
550948,5
550949,1
550949,4
550949,5
550949,6
550952,4
550952,5
550956,1
550956,2
550956,3
550957,6
550958,1
550958,3
550959,1
550959,3
550959,4
550959,5
550959,6
550960,1
550960,2
550960,3
550960,4
550960,5
550960,6
550961,1
550961,2
550961,4
550961,5
550961,6
550962,4
550962,5
550963,4
550963,5
550964,3
550964,4
550964,5
550964,6
550965,4
550965,5
550966,4
550966,5
550966,6
550967,3
550967,4
550967,5
550969,1
550969,2
550969,4
550969,5
550969,6
550970,2
550970,3
550971,1
550971,4
550972,1
550972,2
550972,3
550972,4
550972,5
550972,6
550973,4
550975,2
550975,3
550975,5
550975,6
550976,6
550977,4
550977,5
550977,6
550979,1
550979,3
550980,2
550980,4
550980,5
550982,2
550982,3
550983,3
550983,4
550983,5
550983,6
550984,4
550984,5
550985,4
550985,5
550985,6
550986,2
550986,5
550987,4
550987,6
550989,4
550989,5
550989,6
550990,2
550990,3
550990,4
550990,5
550990,6
551031,4
551031,5
551031,6
551038,4
551038,5
551038,6
551051,1
551051,2
551083,1
551083,2
551083,3
551085,4
551085,5
551085,6
551102,2
551102,3
555093,1
555093,2
555095,1
555095,2
555096,1
555096,2
555097,5
555097,6
555098,2
555098,3
555098,4
555098,5
555098,6
555106,5
555106,6
555107,2
555107,4
555107,5
555118,1
555118,4
555134,1
555142,10
555164,4
555164,6
555253,2
559144,1
559144,2
111260,129
111260,131
111524,129
111524,130
111538,129
111539,131
118354,130
118354,131
30852,1
30852,3
30857,4
30857,6
365066,129
365066,133
365104,129
365104,130
365104,131
365134,131
370691,129
47304,91
47304,92
47304,93
47304,94
47304,95
47304,96
550954,2
550954,5
550954,6
550990,1
550991,1
550991,2
550991,4
550991,5
550993,1
550993,2
550993,3
550994,4
550994,5
550994,6
550995,1
550995,2
550995,5
550998,2
550998,4
550998,5
550999,1
550999,2
551000,4
551000,5
551001,5
551003,4
551003,5
551003,6
551006,5
551006,6
551007,2
551007,3
551007,4
551007,5
551008,1
551008,3
551009,1
551009,2
551010,4
551010,5
551011,4
551012,2
551012,3
551013,4
551015,4
551016,1
551016,2
551016,3
551016,4
551016,5
551016,6
551017,1
551017,3
551017,4
551017,5
551017,6
551018,3
551018,4
551018,5
551018,6
551020,1
551020,2
551020,3
551020,4
551020,5
551020,6
551021,4
551021,5
551022,2
551023,5
551024,1
551024,2
551024,3
551037,4
551037,6
551039,1
551039,4
551039,5
551040,1
551040,4
551040,5
551041,1
551041,2
551045,2
551045,3
551047,4
551047,6
551075,1
551075,3
551084,2
551084,3
551084,4
551084,5
551084,6
555091,1
555118,2
555122,1
555122,2
555122,4
555122,5
555127,4
555127,6
555128,1
555128,2
555128,4
555128,5
555128,6
555133,4
555133,5
555133,6
555135,2
555135,3
555137,1
555137,2
555137,3
555155,2
555156,4
555162,4
555167,5
